                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2171,                 4.1307,                  1.259,                0.00423,                0.38236,                0.00294,                0.00172,                 1.2652,                 3.5883,                0.88648,             0.00026672,             0.00026672,             0.00026672
                      2,                 1.4884,                 2.0414,                0.98853,                 0.0006,                0.05764,                0.00035,                 0.0001,                  1.324,                 3.4876,                0.94002,             0.00054793,             0.00054793,             0.00054793
                      3,                 1.4713,                 1.5789,                0.97989,                0.00508,                0.51025,                 0.1043,                0.06492,                 1.3016,                 3.0543,                 0.9363,              0.0008269,              0.0008269,              0.0008269
                      4,                 1.3801,                  1.291,                0.96351,                0.01102,                 0.9805,                0.87904,                 0.5297,                  1.187,                 2.5917,                0.91852,              0.0011036,              0.0011036,              0.0011036
                      5,                 1.4248,                 1.2236,                0.98509,                0.90537,                0.82698,                0.93367,                0.53328,                 1.2311,                 1.7205,                0.92643,              0.0013781,              0.0013781,              0.0013781
                      6,                 1.3644,                 1.1107,                0.95827,                0.97558,                0.97586,                0.96689,                 0.5827,                 1.2446,                 1.3564,                0.94415,               0.001634,               0.001634,               0.001634
                      7,                 1.3425,                 1.0665,                0.96355,                0.94476,                0.96439,                0.96958,                0.58984,                 1.2393,                0.96261,                0.95457,               0.001634,               0.001634,               0.001634
                      8,                  1.422,                 1.1315,                0.96894,                 0.9574,                0.97118,                0.95803,                0.60385,                 1.2229,                 0.7788,                0.95964,              0.0016274,              0.0016274,              0.0016274
                      9,                 1.3087,                0.99854,                0.95068,                0.96307,                0.97598,                0.96724,                0.60377,                 1.2476,                0.71228,                0.96625,              0.0016208,              0.0016208,              0.0016208
                     10,                 1.3071,                0.90987,                0.94784,                0.96436,                0.96818,                0.96755,                 0.5676,                 1.3439,                0.70992,                0.97783,              0.0016142,              0.0016142,              0.0016142
                     11,                 1.3244,                0.87369,                0.94593,                0.97316,                0.96729,                0.97145,                0.60787,                 1.2398,                 0.6782,                0.94676,              0.0016076,              0.0016076,              0.0016076
                     12,                 1.3843,                0.90739,                0.97109,                 0.9679,                0.97244,                0.98292,                 0.6167,                 1.2232,                0.64526,                0.94338,               0.001601,               0.001601,               0.001601
                     13,                 1.3127,                0.84279,                0.95631,                0.97425,                0.97777,                0.98305,                 0.6255,                  1.174,                0.61007,                0.93232,              0.0015944,              0.0015944,              0.0015944
                     14,                 1.3621,                0.85329,                0.96307,                0.97032,                0.98389,                0.98278,                0.61138,                 1.2275,                0.64895,                0.94846,              0.0015878,              0.0015878,              0.0015878
                     15,                 1.2901,                0.83231,                0.94987,                0.98462,                0.98431,                0.99023,                0.62082,                 1.2325,                0.67245,                 0.9432,              0.0015812,              0.0015812,              0.0015812
                     16,                 1.3073,                0.81749,                0.93321,                0.97919,                0.98295,                0.98433,                0.60346,                   1.24,                0.64466,                0.94515,              0.0015746,              0.0015746,              0.0015746
                     17,                 1.2771,                0.77272,                0.94747,                0.98414,                 0.9805,                0.98772,                 0.6122,                  1.241,                0.62232,                0.93903,               0.001568,               0.001568,               0.001568
                     18,                 1.2467,                 0.7282,                0.95314,                0.98256,                0.99148,                0.98267,                0.62621,                 1.1877,                0.61662,                0.93416,              0.0015614,              0.0015614,              0.0015614
                     19,                 1.2877,                0.73518,                0.94613,                0.98211,                0.99064,                0.97973,                0.60597,                   1.27,                0.59246,                0.94536,              0.0015548,              0.0015548,              0.0015548
                     20,                 1.2962,                0.74091,                0.93537,                0.97125,                0.98893,                0.98593,                0.63453,                 1.1696,                0.57826,                0.92255,              0.0015482,              0.0015482,              0.0015482
                     21,                   1.27,                0.70739,                0.92937,                0.97354,                 0.9889,                0.98882,                0.61202,                 1.2075,                0.61098,                0.92719,              0.0015416,              0.0015416,              0.0015416
                     22,                 1.2986,                0.68273,                0.94113,                0.96705,                0.99192,                0.98928,                0.63839,                 1.2051,                 0.5718,                0.93221,               0.001535,               0.001535,               0.001535
                     23,                 1.3282,                0.68307,                0.93701,                0.97442,                0.99442,                 0.9908,                0.64237,                 1.1804,                0.56731,                0.92456,              0.0015284,              0.0015284,              0.0015284
                     24,                 1.2644,                0.67619,                0.93725,                0.98071,                0.99237,                0.98563,                0.62764,                  1.197,                0.56752,                0.93243,              0.0015218,              0.0015218,              0.0015218
                     25,                   1.25,                0.66748,                 0.9337,                0.97077,                0.99014,                0.98831,                0.62176,                 1.1852,                0.58365,                0.92005,              0.0015152,              0.0015152,              0.0015152
                     26,                 1.2511,                0.64891,                0.93914,                0.97839,                0.98771,                0.98831,                0.64418,                 1.1716,                0.56879,                0.92163,              0.0015086,              0.0015086,              0.0015086
                     27,                 1.3199,                0.67294,                0.95189,                0.98242,                0.99153,                0.98841,                0.63326,                 1.2026,                0.59715,                0.92624,               0.001502,               0.001502,               0.001502
                     28,                 1.2702,                0.66415,                0.94232,                 0.9828,                0.98717,                0.98913,                0.64244,                 1.1785,                0.58184,                0.91904,              0.0014954,              0.0014954,              0.0014954
                     29,                 1.2363,                0.64764,                0.93397,                0.98094,                0.99305,                 0.9912,                0.62998,                 1.2001,                0.56976,                0.92704,              0.0014888,              0.0014888,              0.0014888
                     30,                 1.2404,                0.64023,                0.92596,                0.98333,                0.99097,                0.99106,                0.63453,                 1.1513,                0.56369,                0.91512,              0.0014822,              0.0014822,              0.0014822
                     31,                 1.2451,                0.63966,                0.94431,                0.98452,                0.98957,                0.99308,                0.63668,                 1.1759,                0.59673,                0.91774,              0.0014756,              0.0014756,              0.0014756
                     32,                 1.2596,                0.63011,                0.94761,                0.98069,                0.99101,                0.99138,                0.63221,                 1.1968,                0.56009,                0.92291,               0.001469,               0.001469,               0.001469
                     33,                 1.2505,                0.61347,                0.93758,                0.98021,                0.98969,                0.98721,                0.63595,                 1.1488,                  0.536,                0.91734,              0.0014624,              0.0014624,              0.0014624
                     34,                 1.2679,                0.63104,                0.93924,                0.97629,                0.98667,                0.98871,                0.64085,                 1.1989,                0.57092,                0.92903,              0.0014558,              0.0014558,              0.0014558
                     35,                 1.2235,                0.62307,                0.92204,                0.99169,                 0.9837,                0.99036,                0.63962,                 1.1683,                0.55141,                 0.9151,              0.0014492,              0.0014492,              0.0014492
                     36,                 1.3026,                0.63501,                0.94343,                0.97903,                0.97433,                0.99031,                0.63334,                 1.1653,                0.56564,                0.92397,              0.0014426,              0.0014426,              0.0014426
                     37,                 1.2429,                0.62915,                0.93289,                0.95742,                0.97867,                0.97944,                0.63116,                  1.236,                0.54954,                0.94233,               0.001436,               0.001436,               0.001436
                     38,                 1.2309,                0.62091,                0.93433,                0.96376,                 0.9775,                0.97787,                0.63189,                 1.2048,                0.57531,                 0.9327,              0.0014294,              0.0014294,              0.0014294
                     39,                 1.2534,                0.62917,                0.93699,                0.98324,                0.98389,                0.99061,                0.63443,                 1.2211,                0.55334,                 0.9279,              0.0014228,              0.0014228,              0.0014228
                     40,                 1.2677,                 0.6183,                0.93383,                0.98748,                0.98936,                 0.9916,                0.62206,                 1.2792,                0.55637,                0.93801,              0.0014161,              0.0014161,              0.0014161
                     41,                 1.2808,                0.62766,                0.93914,                 0.9682,                0.97833,                0.98024,                0.63915,                 1.1516,                0.53135,                0.92151,              0.0014095,              0.0014095,              0.0014095
                     42,                 1.2266,                0.60517,                0.92601,                0.97384,                0.98744,                0.99013,                0.64212,                 1.1669,                0.52941,                0.92118,              0.0014029,              0.0014029,              0.0014029
                     43,                 1.2571,                0.60174,                0.93802,                0.97868,                0.98813,                0.98984,                0.63363,                 1.1726,                0.54234,                0.92076,              0.0013963,              0.0013963,              0.0013963
                     44,                 1.1889,                0.59305,                0.91746,                0.97731,                0.98537,                0.98898,                0.63007,                 1.2197,                0.53772,                0.92845,              0.0013897,              0.0013897,              0.0013897
                     45,                 1.2198,                0.59267,                0.93131,                 0.9735,                0.99118,                0.98368,                0.64373,                 1.1533,                0.52798,                0.91822,              0.0013831,              0.0013831,              0.0013831
                     46,                 1.1945,                0.58859,                0.92197,                0.98557,                0.99082,                0.98933,                0.64316,                 1.1812,                0.53576,                0.92342,              0.0013765,              0.0013765,              0.0013765
                     47,                 1.1857,                0.59406,                 0.9219,                0.98556,                 0.9926,                0.99009,                0.62541,                 1.1954,                0.54712,                0.93233,              0.0013699,              0.0013699,              0.0013699
                     48,                 1.2361,                0.60063,                0.92031,                0.96973,                0.97074,                0.97086,                0.61319,                  1.221,                 0.5389,                0.94531,              0.0013633,              0.0013633,              0.0013633
                     49,                 1.2426,                0.58649,                0.92578,                0.98567,                0.98008,                0.98966,                0.62809,                 1.1789,                0.54144,                0.92312,              0.0013567,              0.0013567,              0.0013567
                     50,                 1.2767,                0.59783,                 0.9317,                0.98302,                0.98499,                0.98941,                0.62059,                 1.2188,                0.55827,                0.92537,              0.0013501,              0.0013501,              0.0013501
                     51,                  1.267,                0.61123,                0.94232,                0.98567,                0.98523,                0.99016,                0.64568,                 1.1824,                0.54708,                0.92597,              0.0013435,              0.0013435,              0.0013435
                     52,                 1.2268,                0.58306,                0.93854,                0.98028,                0.98144,                0.98489,                0.64615,                 1.1773,                0.53179,                0.92176,              0.0013369,              0.0013369,              0.0013369
                     53,                 1.2445,                0.58429,                0.92928,                0.97869,                0.98096,                0.98532,                0.63293,                 1.1818,                0.53475,                0.92234,              0.0013303,              0.0013303,              0.0013303
                     54,                 1.2299,                0.56463,                0.94101,                0.98081,                0.98344,                0.98951,                0.64576,                 1.1865,                0.53074,                0.91972,              0.0013237,              0.0013237,              0.0013237
                     55,                 1.2024,                0.58436,                 0.9236,                0.97682,                 0.9768,                0.98545,                0.62804,                 1.2168,                0.55508,                0.92276,              0.0013171,              0.0013171,              0.0013171
                     56,                 1.2636,                0.58162,                0.94255,                0.97424,                 0.9808,                0.98568,                0.64212,                 1.2311,                0.53597,                0.92934,              0.0013105,              0.0013105,              0.0013105
                     57,                 1.2627,                0.58623,                0.92885,                0.98706,                0.98521,                0.99134,                0.64508,                 1.1362,                0.51966,                0.90875,              0.0013039,              0.0013039,              0.0013039
                     58,                 1.1922,                0.56812,                0.92653,                0.98041,                0.98644,                0.99184,                0.65231,                   1.19,                0.50373,                0.91782,              0.0012973,              0.0012973,              0.0012973
                     59,                 1.2316,                0.58462,                0.92074,                0.98376,                 0.9756,                0.98533,                0.63146,                 1.2168,                0.52583,                0.92301,              0.0012907,              0.0012907,              0.0012907
                     60,                 1.1759,                0.55714,                0.91746,                0.97258,                0.98375,                0.98438,                0.62316,                 1.2245,                0.52618,                 0.9331,              0.0012841,              0.0012841,              0.0012841
                     61,                 1.2138,                0.58086,                0.91455,                0.98014,                0.99195,                0.99045,                0.63704,                 1.1902,                 0.5189,                 0.9153,              0.0012775,              0.0012775,              0.0012775
                     62,                 1.1803,                0.56383,                0.91607,                0.98619,                0.98136,                 0.9932,                0.65089,                 1.1556,                0.52595,                0.91478,              0.0012709,              0.0012709,              0.0012709
                     63,                 1.1861,                0.55066,                0.91801,                0.98284,                0.97756,                0.98709,                0.64539,                 1.1941,                0.52181,                0.92539,              0.0012643,              0.0012643,              0.0012643
                     64,                 1.1977,                0.55665,                0.93304,                0.97203,                0.98808,                0.98777,                0.63659,                 1.1814,                0.50843,                0.92695,              0.0012577,              0.0012577,              0.0012577
                     65,                 1.2129,                0.54953,                0.92227,                0.97055,                0.97584,                0.98008,                 0.6217,                 1.2166,                0.54961,                0.92713,              0.0012511,              0.0012511,              0.0012511
                     66,                 1.1658,                0.57175,                0.90997,                0.96978,                0.97886,                0.97232,                0.62565,                 1.2084,                0.51764,                0.92999,              0.0012445,              0.0012445,              0.0012445
                     67,                 1.1928,                0.56649,                0.91977,                0.96784,                0.99025,                0.98685,                 0.6393,                  1.162,                0.51053,                0.91178,              0.0012379,              0.0012379,              0.0012379
                     68,                 1.2006,                0.56487,                0.90418,                0.98159,                0.98512,                0.98286,                0.64386,                 1.1561,                0.51691,                0.91153,              0.0012313,              0.0012313,              0.0012313
                     69,                 1.1861,                0.56399,                0.92021,                0.98452,                0.98617,                0.99307,                0.64471,                 1.1597,                0.50741,                0.91257,              0.0012247,              0.0012247,              0.0012247
                     70,                 1.1909,                0.55477,                0.92751,                0.97821,                 0.9803,                0.98744,                0.64023,                 1.1588,                0.50213,                0.91607,              0.0012181,              0.0012181,              0.0012181
                     71,                 1.1861,                0.56812,                0.93127,                0.98029,                0.98435,                0.99243,                 0.6422,                 1.1721,                 0.5191,                0.91406,              0.0012115,              0.0012115,              0.0012115
                     72,                 1.1685,                   0.55,                0.91021,                0.98119,                0.98468,                0.99186,                0.63982,                 1.1645,                0.52587,                0.91796,              0.0012049,              0.0012049,              0.0012049
                     73,                 1.1816,                0.54495,                 0.9202,                0.97818,                0.97654,                 0.9819,                0.64204,                 1.1694,                0.51433,                0.91868,              0.0011983,              0.0011983,              0.0011983
                     74,                 1.2062,                0.58439,                0.90584,                0.97309,                0.97586,                0.98477,                0.65416,                 1.1801,                0.50669,                0.91807,              0.0011917,              0.0011917,              0.0011917
                     75,                 1.1909,                0.56392,                0.92264,                0.98195,                0.98055,                0.98823,                0.64752,                 1.1743,                0.50305,                 0.9199,              0.0011851,              0.0011851,              0.0011851
                     76,                 1.1977,                0.55266,                0.92144,                0.96829,                0.99153,                 0.9893,                0.63241,                 1.2192,                0.50967,                0.92365,              0.0011785,              0.0011785,              0.0011785
                     77,                 1.2136,                0.56038,                0.92832,                0.98056,                0.98441,                 0.9905,                0.65491,                 1.1609,                0.50311,                0.90784,              0.0011719,              0.0011719,              0.0011719
                     78,                 1.1593,                0.55496,                0.90341,                0.98476,                 0.9884,                0.99263,                0.64653,                 1.1717,                0.49546,                0.91289,              0.0011653,              0.0011653,              0.0011653
                     79,                 1.1586,                0.52821,                0.91437,                0.97379,                0.97076,                0.98375,                0.64876,                 1.1888,                0.51111,                0.91655,              0.0011587,              0.0011587,              0.0011587
                     80,                 1.1707,                0.53198,                0.92957,                0.97712,                0.97965,                0.98239,                0.64489,                 1.1813,                0.49048,                0.91484,              0.0011521,              0.0011521,              0.0011521
                     81,                 1.1805,                0.53817,                0.92166,                 0.9871,                0.98892,                  0.992,                0.64874,                 1.1773,                0.49122,                0.91364,              0.0011455,              0.0011455,              0.0011455
                     82,                 1.1984,                0.53647,                0.94716,                0.97916,                0.98434,                0.98894,                0.65055,                 1.1831,                0.49665,                 0.9129,              0.0011389,              0.0011389,              0.0011389
                     83,                 1.1799,                0.53896,                0.92083,                0.97767,                0.98221,                0.98718,                0.63213,                 1.2315,                0.49625,                0.92354,              0.0011323,              0.0011323,              0.0011323
                     84,                 1.1998,                 0.5426,                 0.9107,                0.97267,                0.99553,                0.99189,                 0.6282,                   1.19,                0.50212,                0.90952,              0.0011257,              0.0011257,              0.0011257
                     85,                 1.1932,                0.55484,                 0.9231,                0.98088,                0.98181,                0.98672,                0.64037,                 1.1785,                0.49383,                0.91371,              0.0011191,              0.0011191,              0.0011191
                     86,                 1.1879,                0.53239,                0.91725,                0.98466,                0.98964,                0.99286,                0.64584,                 1.1964,                0.49406,                0.91662,              0.0011125,              0.0011125,              0.0011125
                     87,                 1.1852,                0.53802,                0.92483,                0.98665,                0.98524,                0.99236,                0.64477,                  1.186,                0.47757,                0.91415,              0.0011059,              0.0011059,              0.0011059
